Course_1,Course_2,Similarity
AMST 115,CAMS 111,0.11910185
AMST 115,CAMS 186,0.0981935
AMST 115,CAMS 187,0.58984065
AMST 115,CAMS 214,0.69898796
AMST 115,CAMS 229,0.30637354
AMST 115,CAMS 230,0.53431946
AMST 115,CAMS 265,0.3729574
AMST 115,CAMS 272,0.110198095
AMST 115,CAMS 277,-0.024288246
AMST 115,CCST 208,0.1862917
AMST 115,CGSC 130.00,0.45918885
AMST 115,CGSC 330,0.32364053
AMST 115,CHEM 123,0.1331503
AMST 115,CHEM 224,0.06892672
AMST 115,CHEM 234,-0.1156973
AMST 115,CHEM 300.00,0.114937305
AMST 115,CHEM 348,0.12031473
AMST 115,CHEM 349,0.23212364
AMST 115,CHEM 351,0.1932646
AMST 115,CHEM 352,0.20615667
AMST 115,CHEM 362,0.23266988
AMST 115,CHIN 103,0.38880718
AMST 115,CHIN 206,0.2960305
AMST 115,CHIN 251,0.23649643
AMST 115,CHIN 358,0.21375489
AMST 115,CLAS 123,0.5740027
AMST 115,CLAS 142,0.2462006
AMST 115,CLAS 214,0.50815487
AMST 115,CLAS 240,0.43186104
AMST 115,CS 111,-0.075712174
AMST 115,CS 201,-0.01315613
AMST 115,CS 202,-0.15029839
AMST 115,CS 208,-0.0339043
AMST 115,CS 251,0.22064917
AMST 115,CS 252,0.050381333
AMST 115,CS 254,0.22792119
AMST 115,CS 257,-0.06448049
AMST 115,CS 304,0.09044533
AMST 115,CS 311,0.20942234
AMST 115,CS 320,0.016993111
AMST 115,CS 347,0.04395984
AMST 115,CS 348,-0.1867819
AMST 115,CS 361,0.28359535
AMST 115,DANC 107,0.23720983
AMST 115,DANC 148,0.23341301
AMST 115,DANC 190,-0.02852941
AMST 115,DANC 200,0.4065519
AMST 115,DANC 206,0.07203211
AMST 115,DANC 208,0.37471667
AMST 115,DANC 279,0.26047814
AMST 115,DANC 309,0.4127966
AMST 115,DANC 310,0.18298417
AMST 115,DANC 350,0.0034044185
AMST 115,DGAH 398,0.17588273
AMST 115,ECON 110,0.2786065
AMST 115,ECON 111,0.28865185
AMST 115,ECON 265,-0.0024578704
AMST 115,ECON 269,0.53198767
AMST 115,ECON 270,0.27842405
AMST 115,ECON 274,0.2887426
AMST 115,ECON 277,0.55330575
AMST 115,ECON 280,0.5637527
AMST 115,ECON 330,0.22641991
AMST 115,ECON 331,0.29518113
AMST 115,ECON 398,0.0033130029
AMST 115,EDUC 110,0.55824304
AMST 115,EDUC 242,0.424629
AMST 115,EDUC 338,0.35777718
AMST 115,EDUC 385,0.09958593
AMST 115,EDUC 395,0.6002094
AMST 115,ENGL 109,-0.16867034
AMST 115,ENGL 115,0.28319666
AMST 115,ENGL 160,-0.075928256
AMST 115,ENGL 202,0.3890126
AMST 115,ENGL 209,-0.17827442
AMST 115,ENGL 230,0.49931493
AMST 115,ENGL 253,0.18914708
AMST 115,ENGL 255,0.6395151
AMST 115,ENGL 268,0.050262544
AMST 115,ENGL 295,0.18211512
AMST 115,ENGL 338,0.33529505
AMST 115,ENGL 370,0.14290611
AMST 115,ENGL 371,0.028323881
AMST 115,ENGL 395.00,0.26197073
AMST 115,EUST 101.07,0.32477713
AMST 115,EUST 207,0.502788
AMST 115,FREN 103,0.23657517
AMST 115,FREN 208,0.07237877
AMST 115,FREN 210,0.047227487
AMST 115,FREN 245,0.50914234
AMST 115,FREN 254,0.36802787
AMST 115,FREN 255,0.41421178
AMST 115,FREN 259,0.58801216
AMST 115,FREN 310,0.12363714
AMST 115,GEOL 110,0.1984872
AMST 115,GEOL 230,0.3330185
AMST 115,GEOL 240,0.027208533
AMST 115,GEOL 255,0.36639503
AMST 115,GERM 103,0.4836441
AMST 115,GERM 217,0.43093368
AMST 115,GERM 221,0.28794202
AMST 115,GRK 102,0.32554755
AMST 115,GRK 226,0.17108056
AMST 115,GWSS 110,0.7280984
AMST 115,GWSS 200,0.37979513
AMST 115,GWSS 398.00,0.80317783
AMST 115,HEBR 102,0.08721191
AMST 115,HIST 111,0.41486973
AMST 115,HIST 116,0.28940657
